01/27/2026-23:06:06.114776  [**] [1:2066542:1] ET MALWARE Observed Win32/Lumma Stealer Related Domain (whitepepper .su) in TLS SNI [**] [Classification: Domain Observed Used for C2 Detected] [Priority: 1] {TCP} 10.1.21.58:61836 -> 153.92.1.49:443
01/27/2026-23:05:38.444299  [**] [1:2066541:1] ET MALWARE Win32/Lumma Stealer Related CnC Domain in DNS Lookup (whitepepper .su) [**] [Classification: Domain Observed Used for C2 Detected] [Priority: 1] {UDP} 10.1.21.58:58771 -> 10.1.21.2:53
01/27/2026-23:05:38.444299  [**] [1:2014169:4] ET DNS Query for .su TLD (Soviet Union) Often Malware Related [**] [Classification: Potentially Bad Traffic] [Priority: 2] {UDP} 10.1.21.58:58771 -> 10.1.21.2:53
01/27/2026-23:06:00.073531  [**] [1:2066542:1] ET MALWARE Observed Win32/Lumma Stealer Related Domain (whitepepper .su) in TLS SNI [**] [Classification: Domain Observed Used for C2 Detected] [Priority: 1] {TCP} 10.1.21.58:61831 -> 153.92.1.49:443
01/27/2026-23:05:46.923261  [**] [1:2066541:1] ET MALWARE Win32/Lumma Stealer Related CnC Domain in DNS Lookup (whitepepper .su) [**] [Classification: Domain Observed Used for C2 Detected] [Priority: 1] {UDP} 10.1.21.58:64384 -> 10.1.21.2:53
01/27/2026-23:05:46.923261  [**] [1:2014169:4] ET DNS Query for .su TLD (Soviet Union) Often Malware Related [**] [Classification: Potentially Bad Traffic] [Priority: 2] {UDP} 10.1.21.58:64384 -> 10.1.21.2:53
01/27/2026-23:05:40.514473  [**] [1:2014170:6] ET INFO HTTP Request to .su TLD (Soviet Union) Often Malware Related [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 10.1.21.58:54492 -> 153.92.1.49:80
01/27/2026-23:06:02.618089  [**] [1:2066542:1] ET MALWARE Observed Win32/Lumma Stealer Related Domain (whitepepper .su) in TLS SNI [**] [Classification: Domain Observed Used for C2 Detected] [Priority: 1] {TCP} 10.1.21.58:61834 -> 153.92.1.49:443
01/27/2026-23:05:57.237626  [**] [1:2066542:1] ET MALWARE Observed Win32/Lumma Stealer Related Domain (whitepepper .su) in TLS SNI [**] [Classification: Domain Observed Used for C2 Detected] [Priority: 1] {TCP} 10.1.21.58:61827 -> 153.92.1.49:443
01/27/2026-23:06:01.478022  [**] [1:2066542:1] ET MALWARE Observed Win32/Lumma Stealer Related Domain (whitepepper .su) in TLS SNI [**] [Classification: Domain Observed Used for C2 Detected] [Priority: 1] {TCP} 10.1.21.58:61833 -> 153.92.1.49:443
